esterase,SiteScore,size,Dscore,volume,exposure,enclosure,contact,hydrophobic,hydrophilic,balance,don/acc
prep_sid180409,0.804,22,0.463,42.87,0.511,0.987,1.565,0.371,1.749,0.212,0.245
prep_sid180953,0.797,21,0.469,44.93,0.462,0.989,1.420,1.042,1.702,0.612,0.263
prep_sid181002,0.913,38,0.704,72.37,0.472,0.989,1.461,2.150,1.439,1.495,0.380
prep_sid181104,0.938,42,0.806,72.37,0.425,0.991,1.472,2.417,1.220,1.981,0.237
prep_sid181137,0.994,54,0.820,99.47,0.486,0.980,1.470,1.500,1.408,1.066,0.267
prep_sid181382,0.896,36,0.746,70.31,0.500,0.981,1.428,1.674,1.247,1.342,0.049
prep_sid181383,0.831,24,0.732,38.76,0.442,0.990,1.496,4.256,0.989,4.306,0.226
prep_sid181416,0.865,31,0.644,61.05,0.340,0.982,1.500,2.692,1.436,1.875,0.107
prep_sid181580,0.780,19,0.485,51.79,0.635,0.987,1.402,0.698,1.588,0.440,0.232
prep_sid181817,0.783,19,0.390,36.70,0.525,0.992,1.551,0.579,1.886,0.307,0.063
prep_sid182205,1.004,56,0.795,86.78,0.411,0.980,1.405,1.722,1.524,1.130,0.149
prep_sid182621,0.887,34,0.690,58.65,0.404,0.986,1.508,2.502,1.380,1.813,0.143
prep_sid182664,0.924,40,0.738,55.22,0.412,0.987,1.372,2.154,1.376,1.566,0.228
prep_sid182795,0.877,32,0.765,55.22,0.439,0.990,1.526,2.924,1.107,2.642,0.583
prep_sid183161,0.921,40,0.631,70.66,0.412,0.983,1.476,1.459,1.699,0.859,0.171
prep_sid183201,0.956,46,0.840,80.26,0.410,0.985,1.504,2.296,1.191,1.928,0.187
prep_sid183587,0.969,49,0.772,92.27,0.529,0.980,1.457,1.732,1.453,1.192,0.737
prep_sid183641,0.884,33,0.751,65.17,0.500,0.991,1.372,2.779,1.175,2.366,0.475
prep_sid183797,0.893,36,0.684,88.15,0.532,0.977,1.453,1.477,1.429,1.034,0.269
prep_sid183912,0.939,44,0.747,87.81,0.546,0.976,1.446,1.046,1.416,0.739,0.209
prep_sid183970,0.880,34,0.567,83.01,0.614,0.976,1.444,0.258,1.739,0.148,0.168
prep_sid184097,0.831,27,0.502,65.86,0.603,0.971,1.416,0.345,1.745,0.197,0.128
prep_sid184292,0.762,17,0.535,54.88,0.653,0.986,1.382,1.516,1.364,1.112,0.284
prep_sid184628,0.875,32,0.609,73.40,0.529,0.988,1.464,0.835,1.582,0.528,0.553
prep_sid184664,0.935,43,0.667,89.52,0.476,0.978,1.470,1.170,1.644,0.712,0.231
prep_sid185008,0.952,46,0.871,83.35,0.459,0.980,1.405,2.916,1.088,2.679,0.298
prep_sid185353,0.987,53,0.804,93.30,0.527,0.976,1.396,1.434,1.431,1.002,0.196
prep_sid185465,0.947,45,0.747,99.13,0.526,0.980,1.450,1.353,1.447,0.935,0.131
prep_sid19251,0.962,47,0.737,76.49,0.397,0.985,1.444,1.859,1.530,1.215,0.038
prep_sid40,0.910,38,0.510,70.66,0.479,0.984,1.483,0.430,2.025,0.212,0.121
prep_sid7928,0.900,36,0.605,64.14,0.493,0.986,1.351,0.965,1.690,0.571,0.204
prep_sid8104,0.891,34,0.632,51.11,0.358,0.991,1.458,1.139,1.568,0.726,0.046
